"lat","lon","T","Presence","model","diff","ROC","Prediction"
36.5533,-6.5669,16.3584,0,0,0,"TN","True"
36.5533,-6.5669,20.238088,0,0,0,"TN","True"
37.0541,1.9478,17.521075,0,0,0,"TN","True"
37.051,1.9378,23.8141,0,0,0,"TN","True"
39.0734,5.8598,15.9708,0,0,0,"TN","True"
39.1633,5.916,24.4828,0,0,0,"TN","True"
35.7606,14.2522,18.180712,0,0,0,"TN","True"
35.759,14.2574,21.48665,0,0,0,"TN","True"
42.1735,17.7252,15.180558,0,0,0,"TN","True"
42.2038,17.715,17.211742,0,0,0,"TN","True"
39.4085,19.3807,15.181967,0,0,0,"TN","True"
39.3888,19.3905,18.319192,0,0,0,"TN","True"
33.9189,32.8532,18.21473,0,0,0,"TN","True"
33.9179,32.898,20.4425,0,0,0,"TN","True"
27.16,34.835,25.0281,0,0,0,"TN","True"
23.3867,37.2133,26.12925,0,0,0,"TN","True"
23.36,37.2183,25.811708,0,0,0,"TN","True"
21.9467,38.2517,27.3097,0,0,0,"TN","True"
18.3983,39.8617,27.558763,0,0,0,"TN","True"
18.3967,39.875,27.635025,0,0,0,"TN","True"
20.8176,63.5121,25.051687,0,0,0,"TN","True"
20.8183,63.5047,25.681369,0,0,0,"TN","True"
19.0258,64.6227,25.607735,0,0,0,"TN","True"
19.0393,64.4913,26.313595,0,0,0,"TN","True"
18.5745,66.4895,26.692435,0,0,0,"TN","True"
14.56,70.0117,26.317294,0,0,0,"TN","True"
14.6067,69.9775,29.151544,0,0,0,"TN","True"
5.9994,73.8978,27.9561,0,0,0,"TN","True"
6.0001,73.8955,30.12785,0,0,0,"TN","True"
0.0023,71.6311,30.59345,0,0,0,"TN","True"
-9.3921,66.4236,29.818108,0,0,0,"TN","True"
-16.9539,54.0073,26.129767,0,0,0,"TN","True"
-16.957,53.9852,27.956483,0,0,0,"TN","True"
-15.3424,43.2965,27.296125,0,0,0,"TN","True"
-17.0248,42.7401,26.553475,0,0,0,"TN","True"
-17.3401,42.2821,24.365844,0,0,0,"TN","True"
-29.5022,37.9904,22.208705,0,0,0,"TN","True"
-29.5019,37.9889,22.2414,0,0,0,"TN","True"
-35.2421,26.3048,21.72823,0,0,0,"TN","True"
-35.1728,26.2868,21.76357,0,0,0,"TN","True"
-34.8901,18.0459,15.014,1,1,0,"TP","True"
-34.9449,17.9189,15.013362,1,1,0,"TP","True"
-32.2401,17.7103,13.04322,1,1,0,"TP","True"
-31.0616,4.6617,16.75627,0,0,0,"TN","True"
-31.0616,4.6617,16.86368,1,0,-1,"FN","False"
-20.4091,-3.1759,19.77001,0,0,0,"TN","True"
-8.7026,-17.9398,23.635845,0,0,0,"TN","True"
-8.8118,-17.9126,25.064425,0,0,0,"TN","True"
-20.999,-35.3216,22.233095,0,0,0,"TN","True"
-20.9354,-35.1803,23.374825,0,0,0,"TN","True"
-30.1551,-43.2595,19.32335,0,0,0,"TN","True"
-30.1367,-43.2899,20.07775,0,0,0,"TN","True"
-47.2129,-58.0594,7.481658,1,1,0,"TP","True"
-47.1847,-58.295,7.579417,1,1,0,"TP","True"
-60.2287,-60.6476,1.9034,1,1,0,"TP","True"
-62.1832,-49.2502,-0.80475,1,1,0,"TP","True"
-62.0349,-49.5383,0.73159,1,1,0,"TP","True"
-34.0665,-73.0981,16.60395,0,0,0,"TN","True"
-34.0614,-73.1066,18.122955,0,0,0,"TN","True"
-32.7971,-87.0693,21.121575,0,0,0,"TN","True"
-29.7238,-101.1604,23.84533,0,0,0,"TN","True"
-25.8252,-111.7757,20.352885,0,0,0,"TN","True"
-26.7219,-110.0423,25.165975,0,0,0,"TN","True"
-21.146,-104.787,23.88925,0,0,0,"TN","True"
-12.9945,-95.9855,12.821535,0,1,1,"FP","False"
-13.3194,-96.4768,25.321065,0,0,0,"TN","True"
-5.2692,-85.2121,19.781235,0,0,0,"TN","True"
-5.2529,-85.1545,24.958885,0,0,0,"TN","True"
2.0422,-84.57,25.99385,0,0,0,"TN","True"
1.9928,-84.5766,27.497475,0,0,0,"TN","True"
-1.9245,-84.6182,22.039785,0,0,0,"TN","True"
-2.0133,-84.589,23.88816,0,0,0,"TN","True"
-16.9559,-100.7138,19.823695,0,0,0,"TN","True"
-16.9604,-100.6302,22.78183,0,0,0,"TN","True"
-23.2488,-129.4608,21.65917,0,0,0,"TN","True"
-23.2811,-129.3947,24.26287,0,0,0,"TN","True"
-8.9966,-139.202,24.778725,0,0,0,"TN","True"
-8.9971,-139.1963,26.60467,0,0,0,"TN","True"
-8.9068,-140.283,26.586685,0,0,0,"TN","True"
-8.8517,-140.5782,26.572419,0,0,0,"TN","True"
-8.9111,-142.5571,26.80604,0,0,0,"TN","True"
5e-04,-153.6755,26.139288,0,0,0,"TN","True"
0.0138,-153.6393,26.218438,0,0,0,"TN","True"
31.4949,-159.0561,15.304405,0,0,0,"TN","True"
31.5213,-158.9958,25.164595,0,0,0,"TN","True"
35.4068,-127.7432,13.874505,0,1,1,"FP","False"
35.3671,-127.7422,19.24802,0,0,0,"TN","True"
14.1749,-116.7071,13.066005,0,1,1,"FP","False"
14.2022,-116.6291,26.478605,0,0,0,"TN","True"
6.3094,-102.9606,19.279945,0,0,0,"TN","True"
6.3332,-102.9432,26.605515,0,0,0,"TN","True"
7.4122,-79.3017,26.555663,0,0,0,"TN","True"
9.8491,-80.0384,27.1673,0,0,0,"TN","True"
25.5101,-88.383,24.961605,0,0,0,"TN","True"
25.4925,-88.3432,24.98644,0,0,0,"TN","True"
39.2305,-70.0377,13.993715,1,1,0,"TP","True"
34.6712,-71.3093,19.312775,0,0,0,"TN","True"
31.6948,-64.2489,20.481195,0,0,0,"TN","True"
34.1132,-49.9181,18.82554,0,0,0,"TN","True"
35.8579,-37.17,17.585567,0,0,0,"TN","True"
35.9346,-37.3032,17.627142,0,0,0,"TN","True"
36.1375,-28.935,16.8858,0,0,0,"TN","True"
36.1715,-29.023,17.303005,0,0,0,"TN","True"
43.517,-16.8449,14.31916,1,1,0,"TP","True"
54.5746,-16.8264,10.876965,1,1,0,"TP","True"
54.5305,-16.9377,11.09547,1,1,0,"TP","True"
67.1178,0.369,6.73489,1,1,0,"TP","True"
67.141,0.2355,8.47447,1,1,0,"TP","True"
76.1804,1.3093,1.899612,1,1,0,"TP","True"
72.5869,44.1285,3.824545,1,1,0,"TP","True"
72.5128,44.0775,7.48766,1,1,0,"TP","True"
78.9537,79.3788,-1.29785,1,1,0,"TP","True"
78.9564,79.4201,-0.160312,1,1,0,"TP","True"
79.2233,66.3435,1.365705,1,1,0,"TP","True"
77.1604,73.2057,1.325833,1,1,0,"TP","True"
74.8023,76.1478,2.507887,1,1,0,"TP","True"
78.2528,91.8537,-1.680906,1,1,0,"TP","True"
78.2518,91.8557,-1.649738,1,1,0,"TP","True"
77.9401,116.9045,-1.53759,1,1,0,"TP","True"
77.9028,117.1545,0.10149,1,1,0,"TP","True"
71.5948,160.9381,1.48885,1,1,0,"TP","True"
71.0704,174.9916,2.4534,1,1,0,"TP","True"
73.3824,-168.5345,-0.987833,1,1,0,"TP","True"
73.3833,-168.1333,-0.585333,1,1,0,"TP","True"
71.8895,-154.9101,2.5694,1,1,0,"TP","True"
74.305,-85.6552,-0.405775,1,1,0,"TP","True"
74.296,-85.7059,-1.53136,1,1,0,"TP","True"
72.471,-71.8887,-0.479225,1,1,0,"TP","True"
70.961,-53.6306,1.457935,1,1,0,"TP","True"
69.1136,-51.5086,3.1965,1,1,0,"TP","True"
64.713,-53.0108,2.496125,1,1,0,"TP","True"
61.5442,-55.9865,5.295265,1,1,0,"TP","True"
39.8386,17.4155,17.298758,1,0,-1,"FN","False"
42.1735,17.7252,15.180558,0,0,0,"TN","True"
39.4085,19.3807,15.181967,0,0,0,"TN","True"
39.3888,19.3905,18.319192,0,0,0,"TN","True"
27.16,34.835,25.0281,0,0,0,"TN","True"
23.36,37.2183,25.811708,0,0,0,"TN","True"
21.9467,38.2517,27.3097,0,0,0,"TN","True"
18.3983,39.8617,27.558763,0,0,0,"TN","True"
18.3967,39.875,27.635025,0,0,0,"TN","True"
18.3967,39.875,27.635025,0,0,0,"TN","True"
20.8176,63.5121,25.051687,0,0,0,"TN","True"
20.8183,63.5047,25.681369,0,0,0,"TN","True"
20.8183,63.5047,25.681369,0,0,0,"TN","True"
19.0258,64.6227,25.607735,0,0,0,"TN","True"
19.0393,64.4913,26.313595,0,0,0,"TN","True"
19.0393,64.4913,26.313595,0,0,0,"TN","True"
18.5745,66.4895,26.692435,0,0,0,"TN","True"
18.5918,66.622,27.089113,0,0,0,"TN","True"
18.5918,66.622,27.089113,0,0,0,"TN","True"
14.56,70.0117,26.317294,0,0,0,"TN","True"
14.6067,69.9775,29.151544,0,0,0,"TN","True"
5.9994,73.8978,27.9561,0,0,0,"TN","True"
6.0001,73.8955,30.12785,0,0,0,"TN","True"
-0.6625,73.161,30.12475,0,0,0,"TN","True"
-9.3921,66.4236,29.818108,0,0,0,"TN","True"
-9.3921,66.4236,29.818108,0,0,0,"TN","True"
-16.9539,54.0073,26.129767,0,0,0,"TN","True"
-16.957,53.9852,27.956483,0,0,0,"TN","True"
-15.3424,43.2965,27.296125,0,0,0,"TN","True"
-17.3401,42.2821,24.365844,0,0,0,"TN","True"
-29.5022,37.9904,22.208705,0,0,0,"TN","True"
-29.5022,37.9904,22.208705,0,0,0,"TN","True"
-29.5019,37.9889,22.2414,0,0,0,"TN","True"
-35.2421,26.3048,21.72823,0,0,0,"TN","True"
-35.2421,26.3048,21.72823,1,0,-1,"FN","False"
-35.1728,26.2868,21.76357,0,0,0,"TN","True"
-35.1728,26.2868,21.76357,0,0,0,"TN","True"
-34.8901,18.0459,15.014,1,1,0,"TP","True"
-34.9449,17.9189,15.013362,1,1,0,"TP","True"
-32.2401,17.7103,13.04322,1,1,0,"TP","True"
-31.0616,4.6617,16.75627,0,0,0,"TN","True"
-31.0616,4.6617,16.86368,1,0,-1,"FN","False"
-20.4091,-3.1759,19.77001,1,0,-1,"FN","False"
-8.7026,-17.9398,23.635845,0,0,0,"TN","True"
-8.8118,-17.9126,25.064425,0,0,0,"TN","True"
-20.999,-35.3216,22.233095,0,0,0,"TN","True"
-20.9354,-35.1803,23.374825,0,0,0,"TN","True"
-30.1551,-43.2595,19.32335,0,0,0,"TN","True"
-47.1847,-58.295,7.579417,1,1,0,"TP","True"
-62.1832,-49.2502,-0.80475,0,1,1,"FP","False"
-12.9945,-95.9855,12.821535,0,1,1,"FP","False"
-5.2692,-85.2121,19.781235,0,0,0,"TN","True"
2.0422,-84.57,25.99385,0,0,0,"TN","True"
1.9928,-84.5766,27.497475,0,0,0,"TN","True"
-8.9966,-139.202,24.778725,0,0,0,"TN","True"
-8.9966,-139.202,24.778725,0,0,0,"TN","True"
-8.9971,-139.1963,26.60467,0,0,0,"TN","True"
-8.9971,-139.1963,26.60467,0,0,0,"TN","True"
-8.9068,-140.283,26.586685,0,0,0,"TN","True"
-8.8517,-140.5782,26.572419,0,0,0,"TN","True"
-8.8517,-140.5782,26.572419,0,0,0,"TN","True"
-8.9111,-142.5571,26.80604,0,0,0,"TN","True"
-8.9111,-142.5571,26.80604,0,0,0,"TN","True"
14.1749,-116.7071,13.066005,0,1,1,"FP","False"
14.2022,-116.6291,26.478605,0,0,0,"TN","True"
6.3094,-102.9606,19.279945,0,0,0,"TN","True"
6.3332,-102.9432,26.605515,0,0,0,"TN","True"
54.5746,-16.8264,10.876965,1,1,0,"TP","True"
67.1178,0.369,6.73489,1,1,0,"TP","True"
67.141,0.2355,8.47447,1,1,0,"TP","True"
76.1804,1.3093,1.899612,1,1,0,"TP","True"
72.5869,44.1285,3.824545,1,1,0,"TP","True"
72.5128,44.0775,7.48766,1,1,0,"TP","True"
78.9537,79.3788,-1.29785,1,1,0,"TP","True"
78.9564,79.4201,-0.160312,1,1,0,"TP","True"
79.2233,66.3435,1.365705,1,1,0,"TP","True"
77.1604,73.2057,1.325833,1,1,0,"TP","True"
74.8023,76.1478,2.507887,1,1,0,"TP","True"
78.2528,91.8537,-1.680906,1,1,0,"TP","True"
78.2518,91.8557,-1.649738,1,1,0,"TP","True"
77.9401,116.9045,-1.53759,1,1,0,"TP","True"
77.9028,117.1545,0.10149,1,1,0,"TP","True"
71.5948,160.9381,1.48885,1,1,0,"TP","True"
71.0704,174.9916,2.4534,1,1,0,"TP","True"
73.3824,-168.5345,-0.987833,1,1,0,"TP","True"
73.3833,-168.1333,-0.585333,1,1,0,"TP","True"
71.8895,-154.9101,2.5694,1,1,0,"TP","True"
74.305,-85.6552,-0.405775,1,1,0,"TP","True"
74.296,-85.7059,-1.53136,1,1,0,"TP","True"
72.471,-71.8887,-0.479225,1,1,0,"TP","True"
70.961,-53.6306,1.457935,1,1,0,"TP","True"
69.1136,-51.5086,3.1965,1,1,0,"TP","True"
64.713,-53.0108,2.496125,1,1,0,"TP","True"
61.5442,-55.9865,5.295265,1,1,0,"TP","True"
